num,match,date,format,R,B,4s,6s,SR,dismissal,O,M,RW,W,note
51,DE v DES,2026-07-28,T20,0,1,0,0,0.00,c Saini b Karan Bedi,2,0,18,0,
50,DE v DES,2026-07-24,ODI,3,2,0,0,150.00,b Harsh Vora,6,0,32,1,
49,DE v DES,2026-07-20,T20,1,1,0,0,100.00,lbw b Dev Malhotra,1,0,11,0,
48,DE v DES,2026-07-16,ODI,8,5,1,0,160.00,c & b Karan Bedi,8,0,41,1,
47,DE v DES,2026-07-12,T20,1,1,0,0,100.00,b Mohit Saini,2,0,16,0,
46,DE v DES,2026-07-08,ODI,11,7,1,0,157.14,c Tessitore b Saini,7,0,35,1,
45,DE v DES,2026-07-02,T20,3,1,0,0,300.00,c Dev Malhotra,1,0,9,0,
44,MP A v MP B,2025-05-29,Test,3,3,0,0,100.00,lbw b Dev Malhotra,14,2,42,1,
43,RJ A v RJ B,2025-04-18,T20,5,2,1,0,250.00,b Harsh Vora,2,0,15,1,
42,MP A v MP B,2025-04-10,Test,7,6,1,0,116.67,c Tessitore,-,-,-,-,DNB (Side Strain)
41,RJ A v RJ B,2025-03-12,T20,10,4,1,1,250.00,c Tessitore,-,-,-,-,DNB (Rest)
40,MP A v MP B,2025-03-02,Test,9,8,1,0,112.50,lbw b Mohit Saini,18,3,52,1,
39,MP A v MP B,2025-01-08,Test,11,10,1,0,110.00,b Dev Malhotra,16,2,48,1,
38,MP A v MP B,2024-11-04,Test,14,12,1,0,116.67,c Bedi b Saini,-,-,-,-,DNB (Ankle Tweak)
37,MP A v MP B,2024-09-18,Test,16,14,2,0,114.29,b Harsh Vora,21,4,58,2,
36,DE v DES,2024-07-22,ODI,12,7,1,0,171.43,c Tessitore,7,0,31,1,
35,MP A v MP B,2024-06-11,Test,18,16,2,0,112.50,c & b Karan Bedi,20,3,54,2,
34,MP A v MP B,2024-05-20,Test,19,17,2,0,111.76,lbw b Dev Malhotra,-,-,-,-,DNB (Hamstring)
33,RJ A v RJ B,2024-03-20,T20,18,6,1,2,300.00,b Tessitore,1.4,0,18,4,4/18 (Best T20)
32,MP A v MP B,2024-02-10,Test,22,19,2,1,115.79,c Bedi b Saini,22,4,59,2,
31,RJ A v RJ B,2024-01-28,T20,22,8,2,2,275.00,c Harsh Vora,2,0,12,1,
30,MP A v MP B,2023-11-28,Test,25,22,3,0,113.64,b Tessitore,24,5,62,2,
29,MP A v MP B,2023-10-11,Test,28,25,3,1,112.00,lbw b Mohit Saini,23,4,61,2,
28,MI A v MI B,2023-05-18,T20,18,6,1,2,300.00,b Dev Malhotra,2,0,14,1,
27,MP A v MP B,2023-05-14,Test,31,27,3,1,114.81,b Harsh Vora,26,5,68,3,
26,MI A v MI B,2023-04-12,T20,22,8,1,3,275.00,c Saini b Tessitore,2,0,11,1,
25,MP A v MP B,2023-03-30,Test,35,31,4,1,112.90,c Tessitore,25,4,67,3,
24,RJ A v RJ B,2023-02-14,T20,25,9,2,2,277.78,c Saini b Malhotra,2,0,12,1,
23,MP A v MP B,2022-12-19,Test,38,33,4,1,115.15,b Mohit Saini,28,6,74,3,
22,MP A v MP B,2022-11-05,Test,42,37,5,1,113.51,c Harsh Vora,27,5,72,3,
21,DE v DES,2022-07-28,ODI,14,9,1,1,155.56,c Harsh Vora,8,1,34,2,
20,DE v DES,2022-07-20,ODI,16,10,1,1,160.00,b Dev Malhotra,9,1,38,2,
19,DE v DES,2022-07-12,ODI,19,12,2,1,158.33,c & b Karan Bedi,8,1,33,2,
18,DE v DES,2022-07-05,ODI,24,15,2,1,160.00,b Dev Malhotra,7.4,1,21,5,5/21 (Best ODI)
17,MP A v MP B,2022-02-20,Test,63,55,7,1,114.55,b Harsh Vora,31,7,81,4,
16,DE v DES,2022-02-18,ODI,29,18,3,2,161.11,c & b Karan Bedi,8,0,36,2,
15,MP A v MP B,2022-02-02,Test,55,48,6,1,114.58,c Bedi b Saini,29,6,78,3,
14,DE v DES,2021-12-11,ODI,39,24,5,2,162.50,lbw b Harsh Vora,7,0,32,1,
13,MP A v MP B,2021-11-02,Test,52,46,6,1,113.04,lbw b Harsh Vora,30,6,82,4,
12,MP A v MP B,2021-10-14,Test,68,60,7,2,113.33,c Malhotra b Bedi,28,5,76,3,
11,MP A v MP B,2021-09-02,Test,71,62,8,1,114.52,c & b Karan Bedi,27.5,5,54,6,6/54 (Best Test)
10,DE v DES,2021-08-10,ODI,64,39,6,4,164.10,b Dev Malhotra,9,1,39,2,
9,DE v DES,2021-07-15,ODI,87,54,8,5,161.11,c Tessitore,8,0,35,1,
8,MP A v MP B,2021-05-10,Test,87,76,9,2,114.47,lbw b Dev Malhotra,32,6,89,4,
7,RJ A v RJ B,2021-04-18,T20,38,14,3,4,271.43,lbw b Bedi,2,0,13,1,
6,RJ A v RJ B,2021-04-10,T20,44,17,4,4,258.82,b Dev Malhotra,2,0,11,1,
5,RJ A v RJ B,2021-03-28,T20,54,21,4,5,257.14,b Tessitore,2,0,12,0,
4,RJ A v RJ B,2021-03-18,T20,62,23,5,6,269.57,c Saini b Vora,2,0,14,0,
3,RJ A v RJ B,2021-02-12,T20,89,34,7,8,261.76,not out,2,0,14,1,
2,MP A v MP B,2021-01-22,Test,101,89,11,2,113.48,b Mohit Saini,33,8,88,4,
1,MP A v MP B,2021-01-08,Test,124,109,14,3,113.76,c Tessitore b D Malhotra,32,7,86,4,
